"Player Name (Last, First)",Odds to Win,Tier
"Scheffler, Scottie",+1019,Superstars
"McIlroy, Rory",+1691,Superstars
"Fleetwood, Tommy",+1758,Superstars
"Fitzpatrick, Matt",+1928,Superstars
"Rahm, Jon",+2961,Favorites
"Hovland, Viktor",+3346,Favorites
"Schauffele, Xander",+3482,Favorites
"MacIntyre, Robert",+3629,Favorites
"Aberg, Ludvig",+4170,Favorites
"Kim, Si Woo",+5055,Stalwarts
"Young, Cameron",+5233,Stalwarts
"Rose, Justin",+5360,Stalwarts
"Morikawa, Collin",+5461,Stalwarts
"Clark, Wyndham",+5566,Stalwarts
"Hatton, Tyrrell",+5664,Stalwarts
"Lee, Min Woo",+5731,Stalwarts
"Gotterup, Chris",+5967,Stalwarts
"Lowry, Shane",+6029,Longshots
"Thomas, Justin",+6054,Longshots
"Fitzpatrick, Alex",+6408,Longshots
"Cantlay, Patrick",+6664,Longshots
"Kim, Tom",+7060,Longshots
"Burns, Sam",+7190,Longshots
"Niemann, Joaquin",+7289,Longshots
"Henley, Russell",+7391,Longshots
"Rai, Aaron",+7652,Longshots
"Spaun, J.J.",+9704,Longshots
"Reed, Patrick",+10139,Sleepers
"English, Harris",+10335,Sleepers
"Griffin, Ben",+10390,Sleepers
"Kitayama, Kurt",+10557,Sleepers
"Fowler, Rickie",+11505,Sleepers
"DeChambeau, Bryson",+11596,Sleepers
"Hojgaard, Nicolai",+11924,Sleepers
"Bradley, Keegan",+12558,Sleepers
"McNealy, Maverick",+12639,Sleepers
"Scott, Adam",+12748,Sleepers
"Gerard, Ryan",+14084,Sleepers
"Perez, Victor",+14152,Sleepers
"Reitan, Kristoffer",+14678,Sleepers
"Noren, Alex",+15128,Sleepers
"Conners, Corey",+15607,Sleepers
"Wallace, Matt",+15900,Sleepers
"Spieth, Jordan",+16475,Sleepers
"Harman, Brian",+16475,Sleepers
"Matsuyama, Hideki",+17092,Sleepers
"Bhatia, Akshay",+18827,Sleepers
"Cauley, Bud",+19381,Sleepers
"Koepka, Brooks",+20378,Sleepers
"Smith, Jordan",+20590,Sleepers
"McKibbin, Tom",+21177,Sleepers
"Fox, Ryan",+21878,Sleepers
"Chacarra, Eugenio",+21959,Sleepers
"Thorbjornsen, Michael",+22040,Sleepers
"Mitchell, Keith",+22288,Sleepers
"Smalley, Alex",+22542,Sleepers
"Taylor, Nick",+23804,Sleepers
"Bridgeman, Jacob",+24900,Sleepers
"Cole, Eric",+26449,Sleepers
"Poston, J.T.",+26806,Sleepers
"Day, Jason",+27297,Sleepers
"Kim, Michael",+27297,Sleepers
"Homa, Max",+27550,Sleepers
"Theegala, Sahith",+28471,Sleepers
"Woodland, Gary",+30203,Sleepers
"Greyserman, Max",+31479,Sleepers
"Novak, Andrew",+31815,Sleepers
"Knapp, Jake",+31815,Sleepers
"Hall, Harry",+31986,Sleepers
"Jarvis, Casey",+33420,Sleepers
"Ayora, Angel",+34582,Sleepers
"Puig, David",+35403,Sleepers
"Im, Sungjae",+37167,Sleepers
"Straka, Sepp",+38117,Sleepers
"Hisatsune, Ryo",+38610,Sleepers
"Detry, Thomas",+39374,Sleepers
"Cink, Stewart",+39635,Sleepers
"Li, Haotong",+40168,Sleepers
"Parry, John",+40716,Sleepers
"Stevens, Sam",+41279,Sleepers
"Smith, Cameron",+41567,Sleepers
"Keefer, Johnny",+41567,Sleepers
"Suber, Jackson",+41858,Sleepers
"McCarty, Matt",+42453,Sleepers
"Hillier, Daniel",+42757,Sleepers
"Brennan, Michael",+45013,Sleepers
"Canter, Laurie",+47144,Sleepers
"Penge, Marco",+48287,Sleepers
"Echavarria, Nico",+48287,Sleepers
"Herbert, Lucas",+49900,Sleepers
"Berger, Daniel",+51624,Sleepers
"Coody, Pierceson",+52532,Sleepers
"Molinari, Francesco",+53471,Sleepers
"Neergaard-Petersen, Rasmus",+54445,Sleepers
"Du Plessis, Hennie",+54946,Sleepers
"Valimaki, Sami",+61124,Sleepers
"Hojgaard, Rasmus",+61124,Sleepers
"Sullivan, Andy",+64416,Sleepers
"Schaper, Jayden",+65117,Sleepers
"Nakajima, Keita",+65834,Sleepers
"Svensson, Jesper",+68866,Sleepers
"Wiesberger, Bernd",+69667,Sleepers
"Vincent, Scott",+73071,Sleepers
"Jordan, Matthew",+74900,Sleepers
